date,sentiment,responses
2016-11-10,negative,12
2016-11-10,neutral,8
2016-11-10,positive,4
2016-11-11,negative,13
2016-11-11,neutral,7
2016-11-12,negative,6
2016-11-13,neutral,3
2016-11-14,negative,6
2016-11-14,neutral,6
2016-11-15,neutral,15
2016-11-15,positive,3
2016-11-16,negative,12
2016-11-16,neutral,3
2016-11-17,neutral,12
2016-11-18,neutral,9
2016-11-19,negative,3
2016-11-19,neutral,3
2016-11-21,negative,3
2016-11-21,neutral,3
2016-11-21,positive,12
2016-11-22,neutral,27
2016-11-22,positive,7
2016-11-23,neutral,7
2016-11-24,positive,14
2016-11-25,positive,14
2016-11-28,neutral,7
2016-11-28,positive,14
2016-11-29,negative,7
2016-11-29,neutral,21
2016-11-30,negative,16
2016-11-30,neutral,2
2016-12-01,negative,2
2016-12-01,neutral,4
2016-12-02,negative,2
2016-12-02,neutral,2
2016-12-03,positive,2
2016-12-05,negative,2
2016-12-05,neutral,2
2016-12-06,neutral,2
2016-12-07,negative,2
2016-12-07,neutral,6
2016-12-08,negative,4
2016-12-09,neutral,2
2016-12-10,positive,2
2016-12-11,positive,3
2016-12-13,neutral,3
2016-12-14,positive,3
2016-12-15,neutral,9
2016-12-16,positive,3
2016-12-17,positive,3
2016-12-18,neutral,3
2016-12-19,neutral,6
2016-12-20,negative,3
2016-12-20,positive,3
2016-12-21,neutral,3
2016-12-21,positive,3
2016-12-22,neutral,3
2016-12-23,positive,4
2016-12-24,positive,4
2016-12-25,positive,4
2017-01-01,positive,4
2017-01-03,neutral,8
2017-01-03,positive,4
2017-01-04,positive,12
2017-01-05,positive,8
2017-01-06,neutral,5
2017-01-06,positive,12
2017-01-07,neutral,2
2017-01-07,positive,2
2017-01-08,positive,2
2017-01-09,negative,2
2017-01-09,neutral,2
2017-01-09,positive,2
2017-01-10,negative,2
2017-01-10,positive,2
2017-01-11,neutral,4
2017-01-11,positive,2
2017-01-12,neutral,4
2017-01-13,negative,4
2017-01-17,neutral,4
2017-01-18,positive,6
2017-01-19,neutral,6
2017-01-19,positive,6
2017-01-20,neutral,12
2017-01-20,positive,12
2017-01-21,neutral,6
2017-01-23,neutral,18
2017-01-24,neutral,12
2017-01-25,negative,18
2017-01-25,neutral,12
2017-01-26,neutral,14
2017-01-27,negative,2
2017-01-27,neutral,2
2017-01-28,positive,2
2017-01-29,neutral,2
2017-01-30,negative,2
2017-01-31,negative,2
2017-01-31,positive,2
2017-02-01,negative,2
2017-02-02,positive,2
2017-02-03,positive,2
2017-02-06,negative,2
2017-02-06,positive,2
2017-02-07,neutral,2
2017-02-07,positive,5
2017-02-08,negative,10
2017-02-08,positive,5
2017-02-09,neutral,5
2017-02-10,neutral,5
2017-02-10,positive,5
2017-02-11,neutral,5
2017-02-13,negative,5
2017-02-13,positive,5
2017-02-14,neutral,5
2017-02-14,positive,10
2017-02-15,neutral,8
2017-02-16,neutral,8
2017-02-17,neutral,8
2017-02-21,negative,4
2017-02-21,neutral,4
2017-02-22,neutral,8
2017-02-22,positive,4
2017-02-23,negative,4
