date,sentiment,responses
2018-01-15,positive,4
2018-01-16,negative,4
2018-01-16,neutral,16
2018-01-17,negative,4
2018-01-17,positive,8
2018-01-18,neutral,8
2018-01-18,positive,4
2018-01-19,neutral,12
2018-01-20,negative,4
2018-01-20,neutral,4
2018-01-20,positive,4
2018-01-21,neutral,4
2018-01-21,positive,4
2018-01-22,negative,4
2018-01-22,neutral,4
2018-01-22,positive,8
2018-01-23,neutral,4
2018-01-23,positive,6
2018-01-24,neutral,6
2018-01-24,positive,4
2018-01-25,neutral,8
2018-01-25,positive,2
2018-01-26,neutral,8
2018-01-26,positive,4
2018-01-27,positive,2
2018-01-28,positive,12
2018-01-29,negative,6
2018-01-29,neutral,18
2018-01-30,negative,6
2018-01-30,neutral,18
2018-01-30,positive,18
2018-01-31,neutral,12
2018-01-31,positive,6
2018-02-01,neutral,14
2018-02-01,positive,12
2018-02-02,negative,2
2018-02-02,neutral,6
2018-02-02,positive,8
2018-02-03,negative,2
2018-02-03,neutral,2
2018-02-03,positive,2
2018-02-04,neutral,2
2018-02-05,neutral,6
2018-02-05,positive,4
2018-02-06,neutral,4
2018-02-06,positive,4
2018-02-07,negative,4
2018-02-07,neutral,12
2018-02-07,positive,4
2018-02-08,negative,8
2018-02-08,neutral,4
2018-02-08,positive,8
2018-02-09,negative,4
2018-02-09,neutral,12
2018-02-09,positive,4
2018-02-11,neutral,4
2018-02-11,positive,4
2018-02-12,negative,4
2018-02-12,neutral,12
2018-02-12,positive,4
2018-02-13,negative,4
2018-02-13,neutral,24
2018-02-14,negative,8
2018-02-14,neutral,16
2018-02-14,positive,4
2018-02-15,neutral,8
2018-02-15,positive,9
2018-02-16,neutral,15
2018-02-16,positive,15
2018-02-17,neutral,5
2018-02-17,positive,10
2018-02-18,neutral,15
2018-02-19,neutral,15
2018-02-19,positive,5
2018-02-20,neutral,18
2018-02-21,negative,3
2018-02-21,neutral,27
2018-02-21,positive,6
2018-02-22,negative,3
2018-02-22,neutral,19
2018-02-22,positive,19
2018-02-23,neutral,15
2018-02-23,positive,10
2018-02-24,neutral,20
2018-02-25,neutral,15
2018-02-25,positive,15
2018-02-26,negative,6
2018-02-26,neutral,23
2018-02-26,positive,3
2018-02-27,negative,8
2018-02-27,neutral,25
2018-02-27,positive,12
2018-02-28,neutral,20
2018-02-28,positive,8
2018-03-01,neutral,12
2018-03-01,positive,4
2018-03-02,negative,12
2018-03-02,positive,8
2018-03-03,neutral,7
2018-03-04,negative,3
2018-03-04,neutral,9
2018-03-04,positive,3
2018-03-05,neutral,6
2018-03-05,positive,3
2018-03-06,negative,3
2018-03-06,neutral,6
2018-03-06,positive,6
2018-03-07,neutral,6
2018-03-07,positive,3
2018-03-08,neutral,6
2018-03-08,positive,21
2018-03-09,neutral,6
2018-03-09,positive,9
2018-03-10,negative,3
2018-03-10,neutral,3
2018-03-10,positive,3
2018-03-11,neutral,3
2018-03-11,positive,6
2018-03-12,negative,14
2018-03-12,neutral,9
2018-03-12,positive,8
2018-03-13,negative,2
2018-03-13,neutral,8
2018-03-13,positive,4
2018-03-14,neutral,2
2018-03-14,positive,2
